Id,Predicted
1,3062
2,3342
3,206
4,4588
5,7710
6,3714
7,2284
8,314
9,7209
10,7676
11,2671
12,2297
13,3665
14,9447
15,3450
16,1017
17,1473
18,6859
19,2313
20,2529
21,9990
22,370
23,232
24,1263
25,7706
26,9193
27,4460
28,4261
29,9447
30,559
31,8739
32,861
33,2764
34,6478
35,976
36,6492
37,9938
38,841
39,6777
40,7735
41,8152
42,1629
43,4866
44,6814
45,2569
46,9141
47,4610
48,5129
49,3310
50,7929
51,1722
52,141
53,8886
54,8726
55,2474
56,1976
57,6648
58,3594
59,9286
60,360
61,3601
62,706
63,9765
64,1523
65,5125
66,1953
67,732
68,3050
69,4825
70,8486
71,9430
72,3389
73,6242
74,7952
75,2343
76,6417
77,7439
78,5151
79,316
80,987
81,1203
82,9577
83,6484
84,9914
85,5958
86,4764
87,1065
88,1816
89,2858
90,7078
91,4490
92,6911
93,669
94,3759
95,9996
96,5829
97,9262
98,4371
99,8226
100,2012
101,9677
102,1884
103,7312
104,8613
105,7466
106,5245
107,1520
108,7282
109,4337
110,5740
111,572
112,447
113,9574
114,6024
115,6939
116,686
117,10
118,8271
119,4566
120,8214
121,3849
122,5752
123,6133
124,4372
125,1743
126,3007
127,6871
128,6882
129,3722
130,2110
131,2107
132,192
133,9249
134,7671
135,326
136,8691
137,2272
138,7623
139,5474
140,3582
141,9075
142,3513
143,9816
144,8124
145,2627
146,6178
147,5806
148,9616
149,8192
150,4154
151,6406
152,6133
153,3551
154,2951
155,2514
156,1517
157,10
158,3658
159,3828
160,1849
161,1160
162,2299
163,4637
164,4174
165,3961
166,9219
167,8559
168,9775
169,9175
170,7489
171,9066
172,7320
173,6459
174,7036
175,207
176,31
177,713
178,6924
179,3746
180,176
181,3177
182,9092
183,3507
184,5747
185,1268
186,4205
187,1650
188,5690
189,4525
190,4961
191,5642
192,7984
193,6326
194,5036
195,6722
196,3604
197,5238
198,558
199,3712
200,3147
201,3768
202,4058
203,6804
204,2667
205,3021
206,4321
207,8989
208,4172
209,2411
210,4600
211,6669
212,358
213,2363
214,4343
215,2491
216,9343
217,5506
218,2866
219,6325
220,5105
221,9718
222,8230
223,6522
224,7114
225,5876
226,1971
227,1155
228,4588
229,3896
230,4432
231,6870
232,8096
233,4985
234,8091
235,6917
236,4810
237,6118
238,1650
239,7083
240,8371
241,6898
242,8722
243,7821
244,1343
245,7544
246,5588
247,3926
248,5946
249,766
250,7412
251,3868
252,9547
253,3546
254,5853
255,6703
256,3
257,6076
258,5978
259,3468
260,2035
261,2949
262,9254
263,6237
264,2970
265,4348
266,6474
267,8271
268,458
269,1197
270,5156
271,1833
272,2924
273,3869
274,5899
275,3655
276,6151
277,5630
278,8209
279,373
280,8506
281,9490
282,9328
283,8350
284,6286
285,8424
286,9382
287,8455
288,6420
289,8599
290,1360
291,7087
292,811
293,7502
294,3686
295,7482
296,4007
297,6349
298,9969
299,5092
300,7647
301,6900
302,7724
303,182
304,3659
305,2419
306,287
307,7326
308,5642
309,318
310,1992
311,6658
312,6761
313,2661
314,4148
315,8262
316,4939
317,4510
318,4386
319,8026
320,4502
321,9318
322,2347
323,1328
324,1560
325,7837
326,1526
327,5946
328,8693
329,772
330,704
331,972
332,6004
333,6867
334,1408
335,7377
336,7703
337,5316
338,4384
339,7948
340,6646
341,2079
342,7796
343,1853
344,8531
345,6088
346,2079
347,4569
348,8551
349,2260
350,1890
351,3608
352,5778
353,9128
354,3949
